Laptop,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,trials_7.order,participant,mapping,date,expName,psychopyVersion,OS,frameRate,CmUnit,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_8.ran,Cm,HeightCmAsEntered,HeightCmUsed,DistCmBasedOnHeight,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_9.ran,trials_9.order,screen_scale_start_time,scale_key_pressed,X Scale,Y Scale,screen_scale_end_time,timeInTrial,eccentricity,spacePressed,BlindSpotCm,BlindSpotBasedDistCm,DistUsedCm,begin_expt_instr_resp.keys,begin_expt_instr_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,sd_practice_resp.keys,sd_practice_resp.rt,conf_practice_resp.keys,conf_practice_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,sd_training_resp.keys,sd_training_resp.rt,conf_training_resp.keys,conf_training_resp.rt,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_10.ran,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,reachedFinish
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,99,1243.6319,1,7,0,9,4,6,2,5,1,1,0,3,7,0,9,4,6,2,5,3,down,1.1753,z,0.3701,99,0,99,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,100,1246.9813,3,6,1,5,2,8,0,9,1,1,2,3,6,4,5,2,8,0,9,3,down,1.243,z,0.1925,100,0,100,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,101,1250.2128,2,7,4,8,0,6,3,9,1,1,3,2,7,4,5,0,6,3,9,3,down,1.3174,c,0.4617,101,0,101,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,102,1253.797,2,8,3,6,0,9,1,5,0,1,4,2,8,3,6,4,9,1,5,4,left,1.8647,z,0.4183,102,0,102,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,103,1259.1969,4,8,3,7,0,5,2,9,1,1,7,4,8,3,7,0,5,2,6,4,left,2.6373,z,0.4218,103,0,103,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,104,1264.0625,2,5,1,7,4,8,0,6,0,1,5,2,5,1,7,4,9,0,6,5,left,1.7734,c,0.4083,104,0,104,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,105,1272.1436,4,6,2,8,3,7,1,5,1,0,3,4,6,2,8,3,7,1,5,5,down,2.8352,z,0.2568,105,0,105,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,106,1277.045,3,6,1,7,0,5,2,8,1,0,1,3,6,1,7,0,5,2,8,5,down,0.9187,z,0.222,106,0,106,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,107,1280.0095,1,9,4,6,3,7,0,8,1,1,3,1,9,4,5,3,7,0,8,5,down,0.8307,z,0.3601,107,0,107,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,108,1282.9769,3,8,2,7,1,9,4,6,0,1,7,3,8,2,7,1,9,4,5,6,left,1.1722,z,0.3123,108,0,108,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,109,1287.5594,1,5,2,6,3,9,4,8,0,1,6,1,5,2,6,3,9,0,8,7,left,1.6556,z,0.2226,109,0,109,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,110,1292.5428,3,8,1,7,2,6,4,5,1,1,6,3,8,1,7,2,6,0,5,7,left,1.878,z,0.2734,110,0,110,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,111,1296.4895,2,9,3,6,4,5,1,8,1,0,4,2,9,3,6,4,5,1,8,7,down,1.9168,z,0.2527,111,0,111,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,112,1300.4565,1,5,0,8,4,9,3,7,1,0,7,1,5,0,8,4,9,3,7,7,down,2.3712,z,0.2013,112,0,112,0,1,,,,,,,,,
,,,,,,,5e307a080551ae02939239f3,32,2023-07-20_21h17.20.280,templeton2A_SD_practice,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,113,1304.8224,4,7,2,5,0,9,3,8,0,1,2,4,7,1,5,0,9,3,8,8,left,2.4713,z,0.2366,113,0,113,0,1,1,,,,,,,,
